id,__typename,createdAt,datePlayed,archived,formatId,updatedAt,winningDeckId
fe385975-dea6-478e-9268-eca80cf625f9,Match,2024-05-19T16:56:44.352Z,2024-03-19,False,e692a8b9-5e99-460b-b810-59b06254eaa9,2024-05-19T16:56:44.352Z,0da2b3a3-5000-4e47-8afc-a8447305ae09
e6b9ffb1-3572-4434-bc21-8e6e3fe259d0,Match,2024-05-19T17:00:53.060Z,2024-03-26,False,e692a8b9-5e99-460b-b810-59b06254eaa9,2024-05-19T17:00:53.060Z,c1cdcb57-92d5-4ef7-86db-0c8615333a39
dabe2b69-c349-4021-8cea-b513f82e6286,Match,2024-05-24T23:08:51.182Z,2024-05-24,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-05-24T23:08:51.182Z,624d0224-081d-4438-97a9-bcc5cb83ca99
3439aec6-d042-4424-b898-d8f6629cbbb0,Match,2024-05-19T17:21:18.524Z,2024-05-04,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-05-19T17:21:18.524Z,8af5a74c-e19e-49b8-af4c-76ab019b9bbc
0b006d6f-d8f3-4636-acd5-50ea9b8a4c87,Match,2024-05-19T17:22:15.079Z,2024-05-07,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-05-19T17:22:15.079Z,35794f1e-2411-41b1-a47e-09ed856b9372
00574520-d0cb-415b-9b46-864b0ea033a0,Match,2024-05-19T16:40:35.498Z,2024-02-27,False,e692a8b9-5e99-460b-b810-59b06254eaa9,2024-05-19T16:40:35.498Z,250e0faa-79e1-4a07-aab3-24a7e087a655
f291f891-d3f3-4c8c-84a6-8ad6d5adab2e,Match,2024-05-19T17:03:09.742Z,2024-04-01,False,e692a8b9-5e99-460b-b810-59b06254eaa9,2024-05-19T17:03:09.742Z,00f68c77-1154-473b-9b0a-c0d399478147
985f07be-893a-4792-b9a0-ba8bd5fb27db,Match,2024-06-13T02:20:18.704Z,2024-06-12,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-06-13T02:20:18.704Z,1f783755-f47d-4a5d-83f5-f9a074c932b7
f0c36400-e5f0-4910-8063-e6755dd0acdb,Match,2024-05-19T17:15:40.338Z,2024-04-27,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-05-19T17:15:40.338Z,7782c783-a210-4d4b-a80d-976bef64f8e6
4b9a292a-53f8-4365-91d6-77310632451a,Match,2024-05-30T02:30:50.471Z,2024-05-29,False,0719aa40-07f3-4b3d-b588-82da8605ffbb,2024-05-30T02:30:50.471Z,afd96f9b-7aa8-4bb6-b5a2-3cc7f665fa44
63323c04-090d-4995-9f81-ee736cb806f1,Match,2024-05-19T16:52:09.861Z,2024-03-08,False,e692a8b9-5e99-460b-b810-59b06254eaa9,2024-05-19T16:52:09.861Z,250e0faa-79e1-4a07-aab3-24a7e087a655
